sentence,score,datasetName
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1,amazon_cells_labelled
i got this phone around the end of may and i'm completely unhappy with it.,0,amazon_cells_labelled
It is very comfortable on the ear.,1,amazon_cells_labelled
It has been a winner for us.,1,amazon_cells_labelled
)Setup couldn't have been simpler.,1,amazon_cells_labelled
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1,amazon_cells_labelled
Could not get strong enough signal.,0,amazon_cells_labelled
Iam very pleased with my purchase.,1,amazon_cells_labelled
Bad Quality.,0,amazon_cells_labelled
Gets the job done.,1,amazon_cells_labelled
Great audio!.,1,amazon_cells_labelled
Basically the service was very bad.,0,amazon_cells_labelled
it did not work in my cell phone plug i am very up set with the charger!.,0,amazon_cells_labelled
"I've only had my bluetooth for a few weeks, but I really like it.",1,amazon_cells_labelled
The BT headset was such a disapoinment.,0,amazon_cells_labelled
It is so small and you don't even realize that it is there after a while of getting used to it.,1,amazon_cells_labelled
The accompanied software is almost brilliant.,1,amazon_cells_labelled
Headset works great & was packaged nicely to avoid any damage.,1,amazon_cells_labelled
!I definitly recommend!!,1,amazon_cells_labelled
Buyer--Be Very Careful!!!!!.,0,amazon_cells_labelled
The majority of the Logitech earbud headsets failed.,0,amazon_cells_labelled
Very good stuff for the price.,1,amazon_cells_labelled
My headset works just peachy-keen.,1,amazon_cells_labelled
In my house I was getting dropped coverage upstairs and no coverage in my basement.,0,amazon_cells_labelled
Voice recognition is tremendous!,1,amazon_cells_labelled
What a waste.,0,amazon_cells_labelled
"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",0,amazon_cells_labelled
I was not happy with this item.,0,amazon_cells_labelled
very disappointed.,0,amazon_cells_labelled
The phone takes FOREVER to charge like 2 to 5 hours literally.,0,amazon_cells_labelled
I got this phone on reccomendation from a relative and I'm glad I did.,1,amazon_cells_labelled
What a waste of time!,0,amazon_cells_labelled
Its reception is very very poor.,0,amazon_cells_labelled
Items stated as included from the description ARE NOT INCLUDED.,0,amazon_cells_labelled
"After 3 months, screen just went black all of a sudden.",0,amazon_cells_labelled
I Was Hoping for More.,0,amazon_cells_labelled
"Audio Quality is poor, very poor.",0,amazon_cells_labelled
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1,amazon_cells_labelled
"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",1,amazon_cells_labelled
I've bought $5 wired headphones that sound better than these.,0,amazon_cells_labelled
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1,amazon_cells_labelled
"Nice quality build, unlike some cheap s*** out there.",1,amazon_cells_labelled
This item is fantastic and works perfectly!,1,amazon_cells_labelled
And I just love the colors!,1,amazon_cells_labelled
W810i is just SUPERB.,1,amazon_cells_labelled
"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0,amazon_cells_labelled
Great charger.,1,amazon_cells_labelled
This is essentially a communications tool that does not communicate.,0,amazon_cells_labelled
Works like a charm; it work the same as the one I got with the phone.,1,amazon_cells_labelled
"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0,amazon_cells_labelled
Great Value.,1,amazon_cells_labelled
Doesn't work at all.. I bougth it for my L7c and its not working.,0,amazon_cells_labelled
"The look of it is very sharp and the screen is nice and clear, with great graphics.",1,amazon_cells_labelled
doesn't last long.,0,amazon_cells_labelled
One thing I hate is the mode set button at the side.,0,amazon_cells_labelled
EXCELLENT SERVICE!!!!!!!!.,1,amazon_cells_labelled
Thank you for wasting my money.,0,amazon_cells_labelled
How can that be?The audio quality is poor.,0,amazon_cells_labelled
The iGo chargers and tips are really great.,1,amazon_cells_labelled
The file browser offers all the options that one needs.Handsfree is great.,1,amazon_cells_labelled
Superb Phone on a Great Network.,1,amazon_cells_labelled
"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1,amazon_cells_labelled
"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0,amazon_cells_labelled
It only recognizes the Phone as its storage device.,0,amazon_cells_labelled
"If you like a loud buzzing to override all your conversations, then this phone is for you!",0,amazon_cells_labelled
Don't buy this product.,0,amazon_cells_labelled
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0,amazon_cells_labelled
The sound quality is good and functionality is awesome.,1,amazon_cells_labelled
"I have this phone and it is a thorn in my side, I really abhor it.",0,amazon_cells_labelled
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0,amazon_cells_labelled
Incredible!.,1,amazon_cells_labelled
Design Flaw?.,0,amazon_cells_labelled
Great phone!.,1,amazon_cells_labelled
Waste of 13 bucks.,0,amazon_cells_labelled
"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",0,amazon_cells_labelled
The replacement died in a few weeks.,0,amazon_cells_labelled
Any ring tone..Overall good phone to buy..,1,amazon_cells_labelled
Lately they have been extremely nice and helpful on the phone.,1,amazon_cells_labelled
I have had problems wit hit dropping signal and more.,0,amazon_cells_labelled
Not impressed.,0,amazon_cells_labelled
"Light weight, I hardly notice it is there.",1,amazon_cells_labelled
You'll love how thin it is.,1,amazon_cells_labelled
Bad Choice.,0,amazon_cells_labelled
The pleather case doesn't fit.,0,amazon_cells_labelled
"useless phone, simply deaf.",0,amazon_cells_labelled
"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",1,amazon_cells_labelled
All in all I think it was a good investment.,1,amazon_cells_labelled
It makes very strange ticking noises before it ends the call.,0,amazon_cells_labelled
The best electronics of the available FM Transmitters.,1,amazon_cells_labelled
Battery lasts only a few hours.,0,amazon_cells_labelled
"great headset, very impressed - H500.",1,amazon_cells_labelled
"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1,amazon_cells_labelled
I've had this for nearly 2 years and it has worked great for me.,1,amazon_cells_labelled
Good transmit audio.,1,amazon_cells_labelled
We are sending it back.,0,amazon_cells_labelled
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0,amazon_cells_labelled
"If you hate earbugs, avoid this phone by all means.",0,amazon_cells_labelled
Great price also!,1,amazon_cells_labelled
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1,amazon_cells_labelled
fast service.,1,amazon_cells_labelled
I would highly recommend this.,1,amazon_cells_labelled
I would recommend this.,1,amazon_cells_labelled
"I also didn't like the ""on"" button, it felt like it would crack with use.",0,amazon_cells_labelled
WORST PHONE EVER.,0,amazon_cells_labelled
I'm still infatuated with this phone.,1,amazon_cells_labelled
Freezes frequently4.,0,amazon_cells_labelled
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0,amazon_cells_labelled
"Simple, lightweight and great fit.",1,amazon_cells_labelled
"All in all, I'd expected a better consumer experience from Motorola.",0,amazon_cells_labelled
There's a horrible tick sound in the background on all my calls that I have never experienced before.,0,amazon_cells_labelled
These are certainly very comfortable and functionality is decent.,1,amazon_cells_labelled
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1,amazon_cells_labelled
I'm a bit disappointed.,0,amazon_cells_labelled
"I have had this phone for over a year now, and I will tell you, its not that great.",0,amazon_cells_labelled
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0,amazon_cells_labelled
The battery is completely useless to me.,0,amazon_cells_labelled
What a big waste of time.,0,amazon_cells_labelled
Don't waste your $$$ on this one.,0,amazon_cells_labelled
Great sound and service.,1,amazon_cells_labelled
Really pleased with this product so far.,1,amazon_cells_labelled
One of my favorite purchases ever.,1,amazon_cells_labelled
best bluetooth on the market.,1,amazon_cells_labelled
Authentic leather with nice shine and comfort .I recommend you this case !!,1,amazon_cells_labelled
I was very excited to get this headset because I thought it was really cute.,1,amazon_cells_labelled
Do not make the same mistake as me.,0,amazon_cells_labelled
Big Disappointment with calendar sync.,0,amazon_cells_labelled
the phone was unusable and was not new.,0,amazon_cells_labelled
Worst Customer Service Ever.,0,amazon_cells_labelled
"No additional ear gels provided, and no instructions whatsoever.",0,amazon_cells_labelled
It defeats the purpose of a bluetooth headset.,0,amazon_cells_labelled
Worth every penny.,1,amazon_cells_labelled
Excellent wallet type phone case.,1,amazon_cells_labelled
Nice headphones for the price and they work great!,1,amazon_cells_labelled
Internet is excrutiatingly slow.,0,amazon_cells_labelled
"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1,amazon_cells_labelled
"It's fits like a glove and is strong, secure, and durable.",1,amazon_cells_labelled
O my gosh the best phone I have ever had.,1,amazon_cells_labelled
It's very attractive and appears to be of good quality.,1,amazon_cells_labelled
I love all the features and form factor.,1,amazon_cells_labelled
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0,amazon_cells_labelled
poor quality and service.,0,amazon_cells_labelled
"The cable looks so thin and flimsy, it is scary.",0,amazon_cells_labelled
Great Earpiece.,1,amazon_cells_labelled
Excellent hands free tool.,1,amazon_cells_labelled
Great for using with your home stereo.,1,amazon_cells_labelled
Good product - incredible value.,1,amazon_cells_labelled
Only had this a month but it's worked flawlessly so far.,1,amazon_cells_labelled
Works great.,1,amazon_cells_labelled
Absolutel junk.,0,amazon_cells_labelled
THAT one didn't work either.,0,amazon_cells_labelled
Battery life is real good.,1,amazon_cells_labelled
Returned 8 hours later.,0,amazon_cells_labelled
It's a great item.,1,amazon_cells_labelled
Don't waste your money!.,0,amazon_cells_labelled
Love this headset!,1,amazon_cells_labelled
"Not only will it drain your player, but may also potentially fry it.",0,amazon_cells_labelled
Worked perfectly!,1,amazon_cells_labelled
Unreliable - I'm giving up.,0,amazon_cells_labelled
I gave it 5 stars because of the sound quality.,1,amazon_cells_labelled
Avoid this one if you can.,0,amazon_cells_labelled
Reversible plug works great.,1,amazon_cells_labelled
I wasted my little money with this earpiece.,0,amazon_cells_labelled
Very good phone.,1,amazon_cells_labelled
"Best of all is the rotating feature, very helpful.",1,amazon_cells_labelled
Comfort for our whole family.,1,amazon_cells_labelled
"Good product, good seller.",1,amazon_cells_labelled
I love this bluetooth!,1,amazon_cells_labelled
"First of all, it doesn't wear well.",0,amazon_cells_labelled
I am very impressed with this headset from Plantronics.,1,amazon_cells_labelled
I got it because it was so small and adorable.,1,amazon_cells_labelled
Great phone!.,1,amazon_cells_labelled
I wouldn't recommend buying this product.,0,amazon_cells_labelled
Piece of Junk.,0,amazon_cells_labelled
Poorly contstruct hinge.,0,amazon_cells_labelled
"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1,amazon_cells_labelled
Great Phone.,1,amazon_cells_labelled
Don't buy it.,0,amazon_cells_labelled
Excellent Phone.,1,amazon_cells_labelled
DO NOT PURCHASE THIS PHONE.,0,amazon_cells_labelled
The voice recognition thru the handset is excellent.,1,amazon_cells_labelled
This is hands down the best phone I've ever had.,1,amazon_cells_labelled
"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1,amazon_cells_labelled
This one works and was priced right.,1,amazon_cells_labelled
Customer service was terrible.,0,amazon_cells_labelled
Battery life still not long enough in Motorola Razor V3i.,0,amazon_cells_labelled
Sending it back.,0,amazon_cells_labelled
Now I know that I made a wise decision.,1,amazon_cells_labelled
Someone shouldve invented this sooner.,1,amazon_cells_labelled
Good price.,1,amazon_cells_labelled
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1,amazon_cells_labelled
I received it quickly and it works great!!,1,amazon_cells_labelled
Has been working great.,1,amazon_cells_labelled
"As many people complained, I found this headset's microphone was very weak.",0,amazon_cells_labelled
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0,amazon_cells_labelled
They do not care about the consumer one bit.,0,amazon_cells_labelled
"This is a good battery, and it got here really fast.",1,amazon_cells_labelled
The instruction manual is lacking.,0,amazon_cells_labelled
Also its slim enough to fit into my alarm clock docking station without removing the case.,1,amazon_cells_labelled
Phone now holds charge like it did when it was new.,1,amazon_cells_labelled
The battery is unreliable as well as the service use antena.,0,amazon_cells_labelled
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0,amazon_cells_labelled
We have gotten a lot of compliments on it.,1,amazon_cells_labelled
This is definitely a must have if your state does not allow cell phone usage while driving.,1,amazon_cells_labelled
I want my money back.,0,amazon_cells_labelled
I love this device.,1,amazon_cells_labelled
I am also very happy with the price.,1,amazon_cells_labelled
I ordered this product first and was unhappy with it immediately.,0,amazon_cells_labelled
The Ngage is still lacking in earbuds.,0,amazon_cells_labelled
I was able to do voice dialing in the car with no problem.,1,amazon_cells_labelled
"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",0,amazon_cells_labelled
"good item, low price.",1,amazon_cells_labelled
"However-the riingtones are not the best, and neither are the games.",0,amazon_cells_labelled
The plug did not work very well.,0,amazon_cells_labelled
AMAZON SUCKS.,0,amazon_cells_labelled
Rip off---- Over charge shipping.,0,amazon_cells_labelled
VERY comfortable.,1,amazon_cells_labelled
The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1,amazon_cells_labelled
The reception is excellent!,1,amazon_cells_labelled
"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1,amazon_cells_labelled
"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",1,amazon_cells_labelled
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0,amazon_cells_labelled
Obviously there is a problem with the adhesive.,0,amazon_cells_labelled
Very disappointing.,0,amazon_cells_labelled
"It was an inexpensive piece, but I would still have expected better quality.",0,amazon_cells_labelled
It is practically useless and did not add any kind of boost to my reception after I bought it.,0,amazon_cells_labelled
Excellent sound quality.,1,amazon_cells_labelled
Was not happy.,0,amazon_cells_labelled
A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0,amazon_cells_labelled
New Battery works great in phone.,1,amazon_cells_labelled
Worst customer service.,0,amazon_cells_labelled
"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",1,amazon_cells_labelled
Reception is terrible and full of static.,0,amazon_cells_labelled
Good audio quality.,1,amazon_cells_labelled
This little device has transformed my organizational capability and made my life a whole lot easier.,1,amazon_cells_labelled
"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0,amazon_cells_labelled
Were JERKS on the phone.,0,amazon_cells_labelled
Works like a charm.. Works as advertised.,1,amazon_cells_labelled
"Comfortable, Nice Range, Good Battery Life.",1,amazon_cells_labelled
Their network coverage in Los Angeles is horrible.,0,amazon_cells_labelled
Excellent starter wireless headset.,0,amazon_cells_labelled
"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",0,amazon_cells_labelled
The only thing that I think could improve is the sound leaks out from the headset.,0,amazon_cells_labelled
"First off the reception sucks, I have never had more than 2 bars, ever.",0,amazon_cells_labelled
The phone gets EXTREMELY HOT!,0,amazon_cells_labelled
"The microphone also works well, but (according to people I have called) it applifies everything.",1,amazon_cells_labelled
Nice design and quality.,1,amazon_cells_labelled
"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",0,amazon_cells_labelled
"It is light, easy to use, and has very clear reception and transmission.",1,amazon_cells_labelled
"bad fit, way too big.",0,amazon_cells_labelled
It definitely was not as good as my S11.,1,amazon_cells_labelled
awesome device.,1,amazon_cells_labelled
Waste of money.,0,amazon_cells_labelled
"I had ordered a motorola data cable, got a very well finished and working product.",1,amazon_cells_labelled
Love This Phone.,1,amazon_cells_labelled
I was looking for this headset for a long time and now that I've got it I couldn't be happier.,1,amazon_cells_labelled
"I'll be drivng along, and my headset starts ringing for no reason.",0,amazon_cells_labelled
Display is excellent and camera is as good as any from that year.,1,amazon_cells_labelled
Battery life is also great!,1,amazon_cells_labelled
The worst phone I've ever had.... Only had it for a few months.,0,amazon_cells_labelled
Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,0,amazon_cells_labelled
This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,0,amazon_cells_labelled
Protects the phone on all sides.,1,amazon_cells_labelled
This is a VERY average phone with bad battery life that operates on a weak network.,0,amazon_cells_labelled
"Clear Skype Calls, Long Battery Life, Long Range.",1,amazon_cells_labelled
Soyo technology sucks.,0,amazon_cells_labelled
Great Hands Free Device.,1,amazon_cells_labelled
"you can even take self portraits with the outside (exterior) display, very cool.",1,amazon_cells_labelled
Same problem as others have mentioned.,0,amazon_cells_labelled
After trying many many handsfree gadgets this is the one that finally works well.,1,amazon_cells_labelled
Magical Help.,1,amazon_cells_labelled
The worst piece of crap ever along with the Verizon customer service.,0,amazon_cells_labelled
Poor sound quality.,0,amazon_cells_labelled
The best phone in market :).,1,amazon_cells_labelled
It worked very well.,1,amazon_cells_labelled
The company shipped my product very promptly and it works well.,1,amazon_cells_labelled
Exactly what I wanted.,1,amazon_cells_labelled
The picture resolution is far below what other comparably-priced phones are offering today.,0,amazon_cells_labelled
This is a great deal.,1,amazon_cells_labelled
"Excellent product, I am very satisfied with the purchase.",1,amazon_cells_labelled
I highly recommend these and encourage people to give them a try.,1,amazon_cells_labelled
Better than you'd expect.,1,amazon_cells_labelled
"Using all earpieces, left or right, this thing will not stay on my ear.",0,amazon_cells_labelled
Great product and price.,1,amazon_cells_labelled
"Sounds good reasonably priced and effective, Its that simple !",1,amazon_cells_labelled
Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,0,amazon_cells_labelled
what a disappointment,0,amazon_cells_labelled
Very prompt service.,1,amazon_cells_labelled
Excellent product for the price.,1,amazon_cells_labelled
Very pleased with this headset.,1,amazon_cells_labelled
don't waste your money and time.,0,amazon_cells_labelled
I especially love the long battery life.,1,amazon_cells_labelled
"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",0,amazon_cells_labelled
Works great.,1,amazon_cells_labelled
Plantronics Bluetooth Excelent Buy.,1,amazon_cells_labelled
I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,0,amazon_cells_labelled
I'll be looking for a new earpiece.,0,amazon_cells_labelled
I highly recommend this device to everyone!,1,amazon_cells_labelled
Jawbone Era is awesome too!,1,amazon_cells_labelled
We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,0,amazon_cells_labelled
After a year the battery went completely dead on my headset.,0,amazon_cells_labelled
"I have used several phone in two years, but this one is the best.",1,amazon_cells_labelled
An Awesome New Look For Fall 2000!.,1,amazon_cells_labelled
This is the first phone I've had that has been so cheaply made.,0,amazon_cells_labelled
"Att is not clear, sound is very distorted and you have to yell when you talk.",0,amazon_cells_labelled
The plastic breaks really easy on this clip.,0,amazon_cells_labelled
Price is good too.,1,amazon_cells_labelled
Don't make the same mistake I did.,0,amazon_cells_labelled
Oh and I forgot to also mention the weird color effect it has on your phone.,0,amazon_cells_labelled
I'm using it with an iriver SPINN (with case) and it fits fine.,1,amazon_cells_labelled
Also the area where my unit broke).- I'm not too fond of the magnetic strap.,0,amazon_cells_labelled
"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.",1,amazon_cells_labelled
"every thing on phone work perfectly, she like it.",1,amazon_cells_labelled
"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",0,amazon_cells_labelled
IT'S REALLY EASY.,1,amazon_cells_labelled
My Sanyo has survived dozens of drops on blacktop without ill effect.,1,amazon_cells_labelled
Fantastic earphones.,1,amazon_cells_labelled
It finds my cell phone right away when I enter the car.,1,amazon_cells_labelled
Low Quality.,0,amazon_cells_labelled
I highly recommend this modest priced cellular phone.,1,amazon_cells_labelled
But it does get better reception and clarity than any phone I've had before.,1,amazon_cells_labelled
Warning - Stay away.,0,amazon_cells_labelled
I wish I could return the unit and get back my money.,0,amazon_cells_labelled
Awsome Device Works Great!!.,1,amazon_cells_labelled
I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0,amazon_cells_labelled
"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",0,amazon_cells_labelled
Very Displeased.,0,amazon_cells_labelled
"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",0,amazon_cells_labelled
